Płeć;5 km Tempo;Czas [s]
M;4.373333333333333;5620.0
K;4.253333333333333;5620.0
M;4.406666666666666;5621.0
M;4.3133333333333335;5622.0
M;4.26;5622.0
M;4.453333333333333;5623.0
M;4.256666666666667;5624.0
K;4.276666666666667;5624.0
M;4.35;5624.0
M;4.296666666666667;5625.0
M;4.173333333333334;5625.0
M;4.316666666666666;5626.0
M;4.33;5627.0
M;4.203333333333333;5630.0
M;3.94;5631.0
M;4.363333333333333;5632.0
M;4.1433333333333335;5633.0
M;4.61;5634.0
M;4.173333333333334;5635.0
M;4.38;5635.0
K;4.383333333333334;5635.0
M;4.3933333333333335;5636.0
M;4.5;5637.0
M;4.406666666666666;5637.0
M;4.403333333333333;5641.0
M;4.483333333333333;5642.0
M;4.2733333333333325;5642.0
M;4.216666666666667;5642.0
M;4.423333333333333;5644.0
M;4.336666666666667;5646.0
M;4.326666666666667;5646.0
M;4.453333333333333;5646.0
M;4.3133333333333335;5647.0
M;4.2733333333333325;5648.0
M;4.263333333333334;5650.0
M;4.319999999999999;5650.0
M;4.373333333333333;5651.0
M;4.216666666666667;5653.0
K;4.333333333333333;5653.0
M;4.306666666666667;5653.0
M;4.406666666666666;5654.0
M;4.3933333333333335;5655.0
M;4.36;5663.0
M;4.23;5663.0
M;4.316666666666666;5664.0
M;4.54;5665.0
M;4.319999999999999;5665.0
M;4.36;5666.0
M;4.446666666666667;5667.0
M;4.37;5668.0
M;4.42;5668.0
K;4.3;5669.0
M;4.5233333333333325;5670.0
M;4.463333333333334;5671.0
M;4.39;5672.0
M;4.413333333333333;5675.0
M;4.306666666666667;5676.0
M;4.193333333333333;5679.0
M;4.1866666666666665;5680.0
M;4.366666666666666;5680.0
M;4.433333333333334;5680.0
M;4.5;5680.0
M;4.3966666666666665;5681.0
M;4.5233333333333325;5682.0
M;4.516666666666667;5682.0
M;4.263333333333334;5683.0
M;4.3566666666666665;5684.0
M;4.35;5684.0
K;4.1433333333333335;5685.0
M;4.5233333333333325;5685.0
M;4.36;5686.0
M;4.456666666666666;5688.0
K;4.373333333333333;5689.0
M;4.59;5689.0
M;3.97;5690.0
M;4.38;5692.0
M;4.293333333333334;5693.0
M;4.153333333333333;5694.0
M;4.5233333333333325;5695.0
M;4.116666666666666;5695.0
M;4.3933333333333335;5696.0
M;4.5233333333333325;5696.0
M;4.473333333333333;5698.0
M;4.506666666666666;5701.0
M;4.326666666666667;5703.0
M;4.430000000000001;5703.0
K;4.4366666666666665;5706.0
M;4.433333333333334;5707.0
M;4.3133333333333335;5708.0
M;4.343333333333334;5708.0
M;4.403333333333333;5709.0
M;4.64;5709.0
M;4.363333333333333;5709.0
M;4.33;5709.0
M;4.27;5710.0
M;4.42;5711.0
K;4.36;5711.0
M;4.27;5713.0
M;4.403333333333333;5716.0
M;4.5233333333333325;5717.0
M;4.3933333333333335;5718.0
M;4.336666666666667;5719.0
M;4.493333333333334;5721.0
M;4.573333333333333;5722.0
M;4.28;5722.0
K;4.5233333333333325;5723.0
M;4.05;5724.0
M;4.483333333333333;5724.0
M;4.333333333333333;5726.0
M;4.363333333333333;5727.0
M;4.430000000000001;5729.0
M;4.546666666666667;5729.0
M;4.493333333333334;5730.0
M;4.583333333333333;5730.0
M;4.6066666666666665;5730.0
M;4.62;5730.0
M;4.566666666666666;5732.0
M;4.443333333333333;5733.0
M;4.363333333333333;5733.0
K;4.166666666666667;5733.0
M;4.383333333333334;5733.0
M;4.463333333333334;5734.0
M;4.333333333333333;5735.0
M;4.533333333333333;5735.0
M;4.426666666666667;5736.0
M;4.566666666666666;5738.0
M;4.116666666666666;5739.0
M;4.1066666666666665;5739.0
M;4.33;5741.0
M;4.476666666666668;5743.0
K;4.286666666666666;5744.0
M;4.6433333333333335;5748.0
M;4.63;5749.0
M;4.553333333333333;5751.0
M;4.33;5751.0
M;4.426666666666667;5752.0
M;4.383333333333334;5752.0
M;4.71;5753.0
M;4.373333333333333;5755.0
M;4.513333333333334;5755.0
M;4.66;5757.0
M;4.3933333333333335;5757.0
M;4.446666666666667;5762.0
M;4.176666666666667;5765.0
K;4.456666666666666;5765.0
M;4.3966666666666665;5766.0
M;4.766666666666667;5770.0
M;4.166666666666667;5770.0
M;4.3966666666666665;5770.0
K;4.45;5771.0
M;4.413333333333333;5774.0
M;4.516666666666667;5776.0
M;4.48;5776.0
M;4.276666666666667;5776.0
M;4.3;5781.0
M;4.5633333333333335;5781.0
M;4.54;5784.0
M;4.286666666666666;5784.0
K;4.476666666666668;5784.0
M;4.29;5784.0
M;4.126666666666667;5785.0
M;4.3933333333333335;5786.0
M;4.53;5787.0
M;4.53;5787.0
M;4.24;5787.0
M;4.336666666666667;5790.0
M;4.65;5790.0
M;4.586666666666667;5791.0
M;4.44;5791.0
M;4.4;5791.0
M;4.316666666666666;5792.0
M;4.42;5792.0
M;4.2733333333333325;5793.0
M;4.47;5793.0
K;4.48;5793.0
M;4.546666666666667;5795.0
M;4.533333333333333;5796.0
K;4.28;5798.0
M;4.47;5799.0
M;4.373333333333333;5801.0
M;4.336666666666667;5803.0
M;4.52;5804.0
M;4.44;5804.0
M;4.506666666666666;5804.0
M;4.463333333333334;5805.0
M;4.11;5805.0
M;4.53;5806.0
M;4.403333333333333;5807.0
M;4.406666666666666;5809.0
M;4.516666666666667;5810.0
M;4.489999999999999;5812.0
M;4.569999999999999;5817.0
M;4.426666666666667;5817.0
M;4.496666666666667;5817.0
M;4.46;5817.0
M;4.64;5817.0
M;4.376666666666667;5818.0
M;4.406666666666666;5818.0
M;4.346666666666667;5821.0
M;4.510000000000001;5821.0
M;4.489999999999999;5821.0
M;4.513333333333334;5821.0
M;4.553333333333333;5823.0
M;4.739999999999999;5825.0
K;4.34;5826.0
M;4.506666666666666;5827.0
M;4.14;5827.0
M;4.58;5829.0
M;4.406666666666666;5829.0
M;4.556666666666667;5831.0
M;4.286666666666666;5831.0
M;4.5633333333333335;5834.0
M;4.556666666666667;5835.0
M;4.373333333333333;5836.0
M;4.566666666666666;5837.0
M;4.403333333333333;5840.0
M;4.4;5843.0
M;4.6033333333333335;5843.0
M;4.573333333333333;5844.0
M;4.476666666666668;5847.0
M;4.66;5847.0
M;4.476666666666668;5847.0
M;4.266666666666667;5848.0
M;4.430000000000001;5848.0
M;4.66;5848.0
M;4.593333333333334;5850.0
M;4.53;5850.0
M;4.39;5851.0
M;4.553333333333333;5852.0
M;4.386666666666667;5854.0
M;4.456666666666666;5855.0
M;4.243333333333333;5855.0
M;4.3133333333333335;5856.0
M;4.4366666666666665;5856.0
M;4.433333333333334;5857.0
M;4.6466666666666665;5859.0
M;4.476666666666668;5861.0
M;4.376666666666667;5863.0
M;4.613333333333333;5863.0
M;4.553333333333333;5864.0
M;4.430000000000001;5866.0
K;4.416666666666667;5867.0
M;4.576666666666667;5868.0
M;4.569999999999999;5868.0
M;4.516666666666667;5869.0
K;4.45;5870.0
K;4.3933333333333335;5870.0
M;4.38;5871.0
M;4.486666666666666;5873.0
M;4.54;5874.0
M;4.403333333333333;5874.0
M;4.203333333333333;5876.0
M;4.5;5876.0
M;4.586666666666667;5877.0
M;4.62;5879.0
M;4.616666666666666;5879.0
M;3.773333333333333;5880.0
M;4.283333333333333;5880.0
M;4.569999999999999;5880.0
M;4.616666666666666;5880.0
M;4.536666666666666;5881.0
M;4.54;5881.0
M;4.286666666666666;5882.0
M;4.35;5884.0
M;4.483333333333333;5885.0
M;4.363333333333333;5885.0
K;4.58;5886.0
M;4.496666666666667;5886.0
M;4.546666666666667;5886.0
M;4.726666666666668;5887.0
M;4.583333333333333;5887.0
M;4.5600000000000005;5887.0
M;4.41;5888.0
M;4.61;5888.0
M;4.33;5889.0
M;4.5633333333333335;5889.0
M;4.363333333333333;5890.0
M;4.666666666666667;5890.0
M;4.3;5891.0
M;5.09;5892.0
M;4.5233333333333325;5892.0
M;4.55;5892.0
M;4.45;5892.0
M;4.926666666666667;5894.0
K;4.706666666666666;5895.0
M;4.446666666666667;5896.0
M;4.633333333333334;5896.0
M;4.496666666666667;5896.0
M;4.6;5897.0
K;4.333333333333333;5897.0
M;4.703333333333333;5898.0
M;4.61;5899.0
M;4.62;5900.0
M;4.286666666666666;5900.0
M;4.72;5901.0
M;4.663333333333333;5901.0
M;4.47;5901.0
M;4.573333333333333;5901.0
M;4.510000000000001;5902.0
M;4.38;5902.0
M;4.206666666666667;5902.0
M;4.326666666666667;5903.0
K;4.706666666666666;5903.0
M;4.613333333333333;5903.0
M;4.569999999999999;5903.0
M;4.7;5903.0
M;4.55;5904.0
M;3.94;5905.0
M;4.616666666666666;5906.0
M;4.5;5907.0
M;4.173333333333334;5907.0
M;4.616666666666666;5907.0
M;4.456666666666666;5909.0
K;4.656666666666666;5909.0
M;4.486666666666666;5910.0
M;4.703333333333333;5911.0
M;4.296666666666667;5912.0
M;4.5633333333333335;5912.0
M;4.596666666666667;5912.0
M;4.3566666666666665;5912.0
M;4.583333333333333;5912.0
